order_id,customer_id,book_id,quantity,price_base,order_date,ship_date
200001,53818,14,8,16.85,2019-11-08,2019-11-13
200002,2513,149,3,50.5,2018-05-20,2018-05-31
200003,67483,108,17,24.3,2018-08-17,2018-08-20
200004,92783,56,6,10.83,2019-12-13,2019-12-16
200005,10359,37,5,12,2018-01-04,2018-01-06
200006,69992,69,12,22.23,2019-12-16,2019-12-21
200007,23050,4,10,15.39,2019-10-19,2019-10-21
200008,60342,142,8,57.2,2019-07-02,2019-07-12
200009,75191,16,1,14.58,2018-06-14,2018-06-15
200010,85309,155,14,42,2019-09-28,2019-10-11
200011,14873,47,9,12.91,2018-04-28,2018-05-05
200012,83592,99,12,0.75,2019-09-10,2019-09-15
200013,48831,115,7,17.33,2019-08-25,2019-09-03
200014,9332,35,7,10.79,2018-07-13,2018-07-19
200015,99363,2,9,10.91,2019-05-18,2019-05-21
200016,1243,35,6,10.79,2019-10-07,2019-10-19

-- truncated ---
